LOC/COUNT: 0 | EXTRACTED SUB30: 23.35 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-54,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,17456934,0,28,0,0,17.8402,128,[28 -64 1 0 0 0 0 0 0 0 0 0 26 16 23 17 26 18 25 17 25 19 20 18 22 19 19 19 22 19 20 21 20 22 20 21 18 22 19 21 17 19 21 22 18 18 18 18 15 17 16 17 15 17 18 16 15 17 15 18 16 17 14 17 0 0 16 14 18 16 17 13 19 13 14 11 16 12 16 11 15 10 17 9 15 11 16 11 14 9 16 8 14 8 17 8 16 7 18 6 14 5 14 5 15 4 15 5 15 3 15 4 15 3 14 2 13 2 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 1 | EXTRACTED SUB30: 24.60 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-54,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,17460441,0,157,0,0,17.8715,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 23 -20 23 -18 26 -19 25 -19 26 -18 24 -15 25 -16 24 -13 25 -15 26 -14 27 -14 26 -14 27 -12 25 -12 23 -11 27 -13 24 -12 23 -12 22 -10 22 -11 21 -10 22 -11 21 -10 22 -10 22 -11 21 -9 0 0 19 -11 21 -11 19 -12 19 -13 16 -11 17 -12 16 -12 15 -11 15 -14 15 -12 16 -12 14 -11 13 -13 12 -12 14 -14 13 -13 13 -15 11 -13 11 -13 9 -14 10 -13 9 -14 9 -14 9 -14 8 -13 7 -13 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 2 | EXTRACTED SUB30: 24.52 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-53,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,17543583,0,135,0,0,17.9267,128,[-121 112 8 0 0 0 0 0 0 0 0 0 26 -11 25 -9 28 -10 27 -9 29 -8 25 -6 27 -5 26 -4 27 -5 27 -5 28 -5 28 -6 28 -4 27 -5 24 -3 28 -4 25 -3 25 -3 22 -2 24 -2 23 -2 24 -3 22 -3 24 -4 24 -5 23 -3 0 0 21 -4 24 -4 22 -5 23 -7 18 -6 21 -5 20 -6 19 -5 19 -7 20 -6 20 -7 17 -7 18 -8 17 -7 19 -8 18 -7 19 -9 16 -8 17 -7 16 -9 16 -8 16 -9 16 -9 15 -10 14 -10 13 -9 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 3 | EXTRACTED SUB30: 21.02 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-68,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,18051778,0,390,0,0,18.4349,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 20 6 19 6 22 5 21 5 21 4 21 4 22 4 22 3 22 3 23 2 23 2 23 1 22 1 22 1 21 1 23 1 22 0 22 0 21 0 21 0 22 0 22 0 21 -1 20 -1 21 1 20 0 0 0 20 0 21 1 20 1 20 0 19 1 20 1 19 2 19 2 19 2 20 2 19 2 19 3 19 4 19 3 18 5 18 4 20 4 18 4 19 5 18 5 18 5 17 5 18 6 18 5 18 6 17 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 4 | EXTRACTED SUB30: 19.72 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-67,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,18093008,0,390,0,0,18.4758,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 15 13 14 14 14 15 13 15 14 15 13 15 13 16 12 15 13 16 12 16 13 17 12 17 12 17 12 17 11 17 12 17 12 17 11 16 11 16 11 16 11 16 10 16 10 16 10 16 10 17 10 15 0 0 12 15 11 16 11 15 12 13 10 14 11 14 11 13 11 13 11 13 12 13 12 11 11 12 12 13 12 12 12 11 12 11 11 10 12 11 13 10 12 9 13 10 13 10 14 10 12 8 13 9 13 8 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 5 | EXTRACTED SUB30: 20.22 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-68,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,18137653,0,82,0,0,18.5205,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 20 10 18 11 20 8 19 8 21 7 19 8 20 8 20 7 21 6 21 6 21 6 22 6 22 5 21 4 21 6 23 5 20 6 20 3 19 3 20 4 20 4 20 3 19 2 19 3 20 5 19 0 0 4 18 4 19 4 17 5 18 3 16 5 16 4 17 4 16 5 16 6 16 5 15 5 15 6 15 6 14 6 15 7 14 7 15 6 14 6 14 7 14 6 14 7 13 8 15 7 14 6 13 7 13 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 6 | EXTRACTED SUB30: 24.00 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-60,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,18220532,0,82,0,0,18.6035,128,[82 -96 4 0 0 0 0 0 0 0 0 0 1 31 1 31 0 32 1 32 -1 31 -2 29 -2 30 -3 28 -2 31 -3 29 -2 30 -1 30 -2 29 -2 29 -2 27 -2 29 -2 27 -2 25 -2 24 -2 24 -2 23 -2 24 -1 22 -1 23 0 24 -1 23 0 0 1 22 0 22 1 21 2 21 1 18 1 19 2 19 1 18 2 18 1 17 2 18 2 16 4 16 2 15 2 16 2 16 2 16 3 13 1 14 3 14 1 13 3 13 2 13 3 13 3 12 3 11 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 7 | EXTRACTED SUB30: 11.40 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-71,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,18553482,0,82,0,0,18.9364,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 20 14 19 15 20 14 20 14 20 13 18 13 20 13 19 14 18 12 18 12 18 11 17 12 17 11 17 10 16 11 16 10 14 11 14 11 13 9 11 8 11 9 11 10 11 9 10 7 9 8 9 0 0 7 8 7 7 7 8 7 7 6 6 5 7 5 6 5 6 5 5 4 5 4 4 3 5 3 5 3 5 4 5 3 4 3 6 2 5 2 5 1 6 1 6 0 7 1 7 0 8 0 7 0 7 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 8 | EXTRACTED SUB30: 12.73 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-69,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19048152,0,82,0,0,19.4311,384,[82 -96 4 0 0 0 0 0 0 0 0 0 1 3 0 3 0 3 -1 4 -1 4 -1 4 -1 5 -2 5 -2 5 -3 5 -2 6 -3 6 -4 6 -4 7 -5 7 -5 8 -5 8 -5 7 -6 7 -6 8 -7 8 -8 8 -7 8 -7 8 -9 9 -8 9 0 0 -9 10 -9 10 -9 10 -9 10 -10 11 -10 10 -10 10 -10 11 -10 11 -9 12 -10 12 -10 11 -10 12 -10 13 -10 13 -10 13 -11 14 -10 14 -10 14 -11 15 -11 14 -10 15 -10 16 -10 16 -11 14 -11 18 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 9 | EXTRACTED SUB30: 19.42 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-63,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19220089,0,82,0,0,19.603,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -3 -15 -1 -15 -4 -17 -1 -17 -1 -18 -1 -16 0 -17 0 -17 1 -17 1 -19 2 -18 1 -19 2 -19 2 -19 2 -18 2 -20 3 -19 3 -19 3 -18 3 -19 4 -19 3 -19 4 -19 4 -19 4 -19 3 -19 0 0 3 -19 4 -20 3 -20 2 -20 3 -18 3 -20 3 -20 3 -19 2 -19 1 -20 1 -20 2 -19 2 -19 1 -20 1 -20 0 -20 0 -21 0 -20 0 -21 0 -21 0 -20 0 -20 -1 -21 -1 -21 -1 -20 -1 -20 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 10 | EXTRACTED SUB30: 19.10 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-62,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,19446459,0,82,0,0,19.8294,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 14 -8 14 -9 15 -10 14 -10 14 -10 13 -10 14 -11 14 -11 14 -12 14 -12 15 -12 14 -13 14 -13 15 -13 14 -13 15 -13 14 -13 14 -13 14 -14 14 -14 13 -14 14 -14 13 -14 14 -14 13 -14 14 0 0 -14 13 -14 15 -13 14 -13 15 -12 13 -13 14 -13 14 -13 14 -12 15 -12 16 -12 15 -12 15 -12 15 -11 16 -11 16 -11 16 -12 16 -10 16 -11 17 -10 17 -10 17 -10 17 -10 17 -10 17 -10 17 -10 17 0 0 0 0 0 0 0 0 0 0 ]
